,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__leaf_size,param_estimator__n_neighbors,param_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.34790968894958496,0.28500511338614326,0.09739573796590169,0.021047622946043214,21,10,1,0.24840977840829248,0.8118890776452482,24,"OrderedDict([('estimator__leaf_size', 21), ('estimator__n_neighbors', 10), ('estimator__p', 1), ('max_features', 0.24840977840829248), ('max_samples', 0.8118890776452482), ('n_estimators', 24)])",-2.47196125387705,-2.4152167670186198,-2.389134213537772,-2.4254374114778137,0.034577698330109076,46
1,0.42285362879435223,0.37565424925188373,0.16684110959370932,0.02180629204149599,69,17,2,0.3630908835629548,0.4216606692569047,47,"OrderedDict([('estimator__leaf_size', 69), ('estimator__n_neighbors', 17), ('estimator__p', 2), ('max_features', 0.3630908835629548), ('max_samples', 0.4216606692569047), ('n_estimators', 47)])",-2.411240267007279,-2.363235023287212,-2.3404909463124923,-2.371655412202328,0.029490606490935226,40
2,0.3520026206970215,0.15969261078871294,1.8382482528686523,0.2104598995569184,86,16,1,0.9826729123067954,0.7887144427616994,91,"OrderedDict([('estimator__leaf_size', 86), ('estimator__n_neighbors', 16), ('estimator__p', 1), ('max_features', 0.9826729123067954), ('max_samples', 0.7887144427616994), ('n_estimators', 91)])",-2.4005138869968348,-2.3568286895059716,-2.3333667013595227,-2.363569759287443,0.02782406214174956,34
3,0.4632433255513509,0.420124599134359,0.7399590015411377,0.027995196284370583,23,14,1,0.952009626011218,0.5818006701670909,23,"OrderedDict([('estimator__leaf_size', 23), ('estimator__n_neighbors', 14), ('estimator__p', 1), ('max_features', 0.952009626011218), ('max_samples', 0.5818006701670909), ('n_estimators', 23)])",-2.3981621182909123,-2.358367082555785,-2.3319001792314893,-2.362809793359396,0.02723312200785482,32
4,0.4049733479817708,0.35860772772870114,0.12000433603922527,0.005446235639061144,14,14,1,0.2311061071596163,0.34805145450926733,42,"OrderedDict([('estimator__leaf_size', 14), ('estimator__n_neighbors', 14), ('estimator__p', 1), ('max_features', 0.2311061071596163), ('max_samples', 0.34805145450926733), ('n_estimators', 42)])",-2.4574734536260583,-2.4054165337875144,-2.377738892326934,-2.413542959913502,0.03305479458491919,45
5,0.3007088502248128,0.19476289468617597,0.29532663027445477,0.13679590853326357,48,5,1,0.40819514979719207,0.38337236037751243,62,"OrderedDict([('estimator__leaf_size', 48), ('estimator__n_neighbors', 5), ('estimator__p', 1), ('max_features', 0.40819514979719207), ('max_samples', 0.38337236037751243), ('n_estimators', 62)])",-2.392879873454916,-2.3490517394614248,-2.3237732601505745,-2.3552349576889715,0.02854943246763474,28
6,0.9203307628631592,1.10910956106938,0.06460769971211751,0.0005021144458746832,66,5,2,0.21114046414264415,0.8386443635601878,33,"OrderedDict([('estimator__leaf_size', 66), ('estimator__n_neighbors', 5), ('estimator__p', 2), ('max_features', 0.21114046414264415), ('max_samples', 0.8386443635601878), ('n_estimators', 33)])",-2.4793033740274595,-2.4231415009912696,-2.39762321904986,-2.433356031356196,0.03411905041882204,48
7,0.299246867497762,0.1850953855606837,0.3017912705739339,0.14214487096482692,50,18,2,0.4884902646897099,0.9320536803507066,52,"OrderedDict([('estimator__leaf_size', 50), ('estimator__n_neighbors', 18), ('estimator__p', 2), ('max_features', 0.4884902646897099), ('max_samples', 0.9320536803507066), ('n_estimators', 52)])",-2.391394427098766,-2.3419806352322325,-2.3219441974810353,-2.351773086604011,0.029186214512909727,20
8,0.16306702295939127,0.06756590429317914,0.5456439654032389,0.08908888751328262,45,6,1,0.7256018313250531,0.3187866248174589,95,"OrderedDict([('estimator__leaf_size', 45), ('estimator__n_neighbors', 6), ('estimator__p', 1), ('max_features', 0.7256018313250531), ('max_samples', 0.3187866248174589), ('n_estimators', 95)])",-2.3846375961489827,-2.3353811575102963,-2.3173116917881416,-2.34577681514914,0.028451673914544097,8
9,0.6324836413065592,0.6939741173376743,0.06484293937683105,0.0007621158933175047,52,10,1,0.12269401615935135,0.13876929642071287,46,"OrderedDict([('estimator__leaf_size', 52), ('estimator__n_neighbors', 10), ('estimator__p', 1), ('max_features', 0.12269401615935135), ('max_samples', 0.13876929642071287), ('n_estimators', 46)])",-2.555119013755162,-2.4956061395076663,-2.4572240583808505,-2.5026497372145595,0.04027459723305347,50
10,0.3765130043029785,0.37037487632432586,0.16150617599487305,0.009768808709783854,3,3,1,0.6149487392193407,0.1,5,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.6149487392193407), ('max_samples', 0.1), ('n_estimators', 5)])",-2.442273064807399,-2.427591100568861,-2.4068962404467453,-2.4255868019410016,0.01451189937495814,47
11,0.5054837067921957,0.45445097549097285,0.379688819249471,0.0021772673686596667,94,20,2,0.555149217849533,0.24682143367764503,100,"OrderedDict([('estimator__leaf_size', 94), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.555149217849533), ('max_samples', 0.24682143367764503), ('n_estimators', 100)])",-2.3830978861862127,-2.33494653816571,-2.329795113121513,-2.3492798458244786,0.02400526588657028,12
12,0.2531436284383138,0.020675876182283556,0.9856342474619547,0.09138745726568519,15,13,2,0.8377673947832898,0.9666216137394131,100,"OrderedDict([('estimator__leaf_size', 15), ('estimator__n_neighbors', 13), ('estimator__p', 2), ('max_features', 0.8377673947832898), ('max_samples', 0.9666216137394131), ('n_estimators', 100)])",-2.400631332445322,-2.3609125775536413,-2.3412162111294,-2.3675867070427876,0.024710957941432368,37
13,0.16260298093159994,0.007957030768728161,0.29944825172424316,0.009482275758061645,84,18,2,0.6538312127711783,0.35131722212263083,67,"OrderedDict([('estimator__leaf_size', 84), ('estimator__n_neighbors', 18), ('estimator__p', 2), ('max_features', 0.6538312127711783), ('max_samples', 0.35131722212263083), ('n_estimators', 67)])",-2.3854755551077567,-2.336405931663329,-2.3261827505972676,-2.349354745789451,0.025880018123826835,13
14,0.22544066111246744,0.012164479651953098,0.3901929060618083,0.00704469349338036,100,3,2,0.6512198828902671,1.0,97,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 2), ('max_features', 0.6512198828902671), ('max_samples', 1.0), ('n_estimators', 97)])",-2.3982630011579262,-2.362716572564378,-2.3407444453497552,-2.3672413396906866,0.023698821401424337,36
15,0.2548510233561198,0.004485858883059211,0.34377408027648926,0.006400748176808663,3,20,2,0.37378141588500735,1.0,100,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.37378141588500735), ('max_samples', 1.0), ('n_estimators', 100)])",-2.412539394472683,-2.3605755490499067,-2.336620112195283,-2.3699116852392907,0.031689187794250714,39
16,0.15068268775939941,0.006197411420561006,0.27637402216593426,0.007803850999705123,73,17,1,0.8495886619742139,0.1,64,"OrderedDict([('estimator__leaf_size', 73), ('estimator__n_neighbors', 17), ('estimator__p', 1), ('max_features', 0.8495886619742139), ('max_samples', 0.1), ('n_estimators', 64)])",-2.3907114025018874,-2.3341639196053476,-2.330437239523856,-2.35177085387703,0.027577125563421647,19
17,0.4371860822041829,0.4117395875887317,0.44420456886291504,0.012915307203389164,3,20,2,1.0,0.1,53,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 1.0), ('max_samples', 0.1), ('n_estimators', 53)])",-2.412717005562152,-2.3482154329456746,-2.3629598583662994,-2.3746307656247083,0.027595540396659072,42
18,0.1901529630025228,0.05413324878236998,0.4896095593770345,0.14942769348662593,3,18,1,0.5062037614084116,0.1,79,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 18), ('estimator__p', 1), ('max_features', 0.5062037614084116), ('max_samples', 0.1), ('n_estimators', 79)])",-2.3909777430660153,-2.3374692388036595,-2.33041087088015,-2.352952617583275,0.027041791920649073,23
19,0.15713032086690268,0.0005587816170019881,0.32343347867329914,0.025035628078927407,100,20,1,0.7031208464485421,0.1,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.7031208464485421), ('max_samples', 0.1), ('n_estimators', 100)])",-2.3899299314244855,-2.3307409142355513,-2.3347069912393583,-2.351792612299798,0.02701572103070978,21
20,0.11642018953959148,0.04963105358833684,0.2703738212585449,0.005746344219110761,100,20,1,0.7583404756959734,0.1,65,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.7583404756959734), ('max_samples', 0.1), ('n_estimators', 65)])",-2.3935085435990584,-2.3325410573891605,-2.3339478423190863,-2.3533324811024348,0.028414570901319918,24
21,0.40158629417419434,0.40533907279822423,0.17042764027913412,0.005053179579439135,100,20,1,1.0,0.1,5,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.1), ('n_estimators', 5)])",-2.40808359159468,-2.3550452197361254,-2.354056726241012,-2.372395179190606,0.025238744881496813,41
22,0.553508440653483,0.4877031861740553,0.3801430066426595,0.021923119373065854,100,3,1,0.4967157419444487,1.0,81,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.4967157419444487), ('max_samples', 1.0), ('n_estimators', 81)])",-2.402511465975224,-2.3622899739730965,-2.3369072313705233,-2.3672362237729474,0.027010219545313394,35
23,0.16452407836914062,0.009827332467165542,0.5582070350646973,0.03006759260998033,3,20,1,0.6268839835694744,0.1,80,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.6268839835694744), ('max_samples', 0.1), ('n_estimators', 80)])",-2.391353156332952,-2.3346786199121614,-2.3318179240389525,-2.3526165667613554,0.027415791361287852,22
24,0.43576916058858234,0.38824329529924323,0.5255462328592936,0.030391625990627634,100,20,2,0.8387979175852377,1.0,28,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.8387979175852377), ('max_samples', 1.0), ('n_estimators', 28)])",-2.395497212424914,-2.3535830493638725,-2.3359009922680674,-2.361660418018951,0.02499146891158882,31
25,0.5216927528381348,0.48583378187796195,0.26681192715962726,0.037467072892745895,100,3,1,0.8547013992273507,0.1,59,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.8547013992273507), ('max_samples', 0.1), ('n_estimators', 59)])",-2.390246412513413,-2.343753534089114,-2.3316472988850054,-2.3552157484958443,0.025258672422729708,27
26,0.3096531232198079,0.00963877208426075,1.5645557244618733,0.1609186534795741,3,20,2,0.738798013218492,1.0,78,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.738798013218492), ('max_samples', 1.0), ('n_estimators', 78)])",-2.386613101945263,-2.3423639870941764,-2.326080165209564,-2.3516857514163347,0.025576428927437982,18
27,0.14099017779032388,0.03695431676781012,0.22796233495076498,0.014272690584451148,100,20,2,0.45737296104660186,0.6434357449963828,72,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.45737296104660186), ('max_samples', 0.6434357449963828), ('n_estimators', 72)])",-2.390069308098938,-2.339861456561917,-2.322639469364654,-2.35085674467517,0.028604988591187614,17
28,0.12670556704203287,0.04752281731122763,0.3122454484303792,0.01068980096976587,46,3,1,1.0,0.1,100,"OrderedDict([('estimator__leaf_size', 46), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.1), ('n_estimators', 100)])",-2.4011104959711096,-2.3547830922037383,-2.3326793694372543,-2.3628576525373677,0.02851436670766968,33
29,0.407437006632487,0.3993860491785538,0.21122137705485025,0.01685141516969858,14,4,2,0.8794374914346709,0.4295622844646576,5,"OrderedDict([('estimator__leaf_size', 14), ('estimator__n_neighbors', 4), ('estimator__p', 2), ('max_features', 0.8794374914346709), ('max_samples', 0.4295622844646576), ('n_estimators', 5)])",-2.462021808702803,-2.4414215841316507,-2.415597521786022,-2.4396803048734923,0.018992588800618552,49
