,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0035905838012695312,0.0007554709689773363,0.1422119140625,0.008795819456991712,296,19,1,"OrderedDict([('leaf_size', 296), ('n_neighbors', 19), ('p', 1)])",-2.029723782608696,-2.0288695200057365,-2.1034041843543285,-2.05399916232292,0.03493636684594487,21
1,0.0029007593790690103,6.74586493504851e-05,0.13675689697265625,0.0013903026141718353,121,30,1,"OrderedDict([('leaf_size', 121), ('n_neighbors', 30), ('p', 1)])",-2.0263450832427536,-2.0678432236148954,-2.1180843306010932,-2.0707575458195806,0.03750904186018083,29
2,0.0031996568044026694,1.3591020843038617e-05,0.15081985791524252,0.022038402681322462,255,49,1,"OrderedDict([('leaf_size', 255), ('n_neighbors', 49), ('p', 1)])",-2.0655154095496897,-2.0685308689317687,-2.1511188356752537,-2.0950550380522373,0.03966220116397259,35
3,0.0034233729044596353,0.00038506135001246044,0.1468199094136556,0.024488786067374604,297,41,1,"OrderedDict([('leaf_size', 297), ('n_neighbors', 41), ('p', 1)])",-2.046716334636798,-2.059506503555526,-2.140207505731041,-2.0821434479744547,0.041388188392442835,33
4,0.0032999515533447266,6.233297090293807e-05,0.036459763844807945,0.01940482366007774,260,7,2,"OrderedDict([('leaf_size', 260), ('n_neighbors', 7), ('p', 2)])",-2.0858351401397512,-2.1267852771506424,-2.12168831225605,-2.111436243182148,0.018221912093680608,38
5,0.003310998280843099,4.3976578179222495e-06,0.029790798823038738,0.0014520687823534413,294,42,2,"OrderedDict([('leaf_size', 294), ('n_neighbors', 42), ('p', 2)])",-2.1215177264492753,-2.119501779226677,-2.1915036909315635,-2.144174398869172,0.03347698140659684,44
6,0.003316958745320638,0.00010802586527248465,0.13223600387573242,0.0004354038970501292,155,27,1,"OrderedDict([('leaf_size', 155), ('n_neighbors', 27), ('p', 1)])",-2.0122546441223834,-2.05871177949339,-2.1187638683464884,-2.0632434306540874,0.043600119326188826,27
7,0.0030868848164876304,9.439736629650358e-05,0.013253609339396158,0.001980801885634496,61,30,2,"OrderedDict([('leaf_size', 61), ('n_neighbors', 30), ('p', 2)])",-2.1394236324275364,-2.11488759164396,-2.1903857503642987,-2.1482323248119317,0.03144506096546316,46
8,0.002937157948811849,1.9612575034799963e-05,0.010413567225138346,9.726861184120004e-05,201,4,2,"OrderedDict([('leaf_size', 201), ('n_neighbors', 4), ('p', 2)])",-2.1972747520380436,-2.1700742874659396,-2.2559728135245907,-2.2077739510095244,0.035845167773302,49
9,0.004442850748697917,0.0009547616270370874,0.012810866038004557,0.001262316097617562,154,13,2,"OrderedDict([('leaf_size', 154), ('n_neighbors', 13), ('p', 2)])",-2.071654970317726,-2.106790711381262,-2.156579300966793,-2.111674994221927,0.03484181059396632,39
10,0.0036772886912027993,0.0003538406609306637,0.15021276473999023,0.025881202004018843,6,4,1,"OrderedDict([('leaf_size', 6), ('n_neighbors', 4), ('p', 1)])",-2.2001933267663043,-2.197115941416894,-2.175078833333333,-2.190796033838844,0.011184524097907508,48
11,0.003316005071004232,0.00011931007151722229,0.14228081703186035,0.014069128247860288,281,3,1,"OrderedDict([('leaf_size', 281), ('n_neighbors', 3), ('p', 1)])",-2.2465891576086956,-2.234236050862852,-2.2161765409836063,-2.232333916485051,0.012488538715947324,50
12,0.003231604894002279,9.598341004936677e-05,0.15402682622273764,0.02178247290044769,4,22,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 22), ('p', 1)])",-2.0166058246047434,-2.044978584220956,-2.110958973174367,-2.0575144606666886,0.039526280792635295,24
13,0.003426790237426758,0.0002541605421973701,0.14942590395609537,0.014699904021734947,300,22,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 22), ('p', 1)])",-2.0166058246047434,-2.044978584220956,-2.110958973174367,-2.0575144606666886,0.039526280792635295,24
14,0.003159205118815104,0.0001268306668296481,0.13970462481180826,0.013041960358619748,99,24,1,"OrderedDict([('leaf_size', 99), ('n_neighbors', 24), ('p', 1)])",-2.023830536571558,-2.052324710149864,-2.1166913534836067,-2.0642822000683427,0.038841721582650014,28
15,0.003197828928629557,0.00011790023063794351,0.13664793968200684,0.006895380990662008,5,20,1,"OrderedDict([('leaf_size', 5), ('n_neighbors', 20), ('p', 1)])",-2.0278058342391305,-2.03070570013624,-2.1108068281420764,-2.056439454172482,0.03846176300186618,23
16,0.0030906200408935547,0.0002028209350001913,0.1359864870707194,0.008881116963749193,3,11,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 11), ('p', 1)])",-2.0348235387845848,-2.0288247438692095,-2.076821346994535,-2.0468232098827763,0.021352791507452243,20
17,0.003383000691731771,0.00017609826441754474,0.13492600123087564,0.008587971532910273,300,15,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 15), ('p', 1)])",-2.0418039342391303,-2.0457141465940056,-2.100709179781421,-2.0627424202048523,0.026893971625921217,26
18,0.0032285054524739585,0.0001741425724330463,0.16763798395792642,0.011246435487616366,3,36,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 36), ('p', 1)])",-2.0328712715126813,-2.0690896806690886,-2.1318215960078932,-2.077927516063221,0.04087682456900053,31
19,0.0037140846252441406,0.0005897100291345453,0.1316408316294352,0.0024841752617332908,300,10,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
20,0.0030132929484049478,0.00034260350698955654,0.015624046325683594,0.004016822804472887,20,50,2,"OrderedDict([('leaf_size', 20), ('n_neighbors', 50), ('p', 2)])",-2.126517821576087,-2.128010926212534,-2.196391041092896,-2.1503065962938392,0.03259232404203832,47
21,0.0034824212392171225,0.0008249853903911139,0.148176908493042,0.01537823708050762,300,10,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
